"id_order","brand_accesories"
302119,"TP-Link - accessories"
302137,"iFixit - accessories"
302147,"Muvit - accessories"
302148,"Philips - accessories"
302159,"Wowewa - accessories"
302161,"Elgato - accessories"
302161,"OWC - accessories"
302161,"Lexar - accessories"
302171,"Samsung - accessories"
302171,"OWC - accessories"
302176,"Belkin - accessories"
302190,"Lexar - accessories"
302195,"Hyper Pearl - accessories"
302198,"Muvit - accessories"
302198,"Logitech - accessories"
302199,"iFixit - accessories"
302210,"Apple - accessories"
302210,"Apple - accessories"
302210,"Apple - accessories"
302230,"Kingston - accessories"
302236,"iFixit - accessories"
302245,"Apple - accessories"
302251,"Pack - laptop"
302259,"Tucano - accessories"
302266,"Western Digital - accessories"
302269,"Pebble - smartwhatch"
302289,"OWC - accessories"
302293,"OWC - accessories"
302300,"SanDisk - accessories"
302304,"Jaybird - accessories"
302305,"Logitech - accessories"
302312,"Western Digital - accessories"
302331,"Apple - smartphone"
302331,"Apple - smartphone"
302342,"Apple - accessories"
302343,"SanDisk - accessories"
302344,"Seagate - accessories"
302347,"Crucial - accessories"
302351,"NewerTech - accessories"
302355,"Apple - accessories"
302364,"Apple - accessories"
302366,"Wacom - accessories"
302368,"Apple - smartphone"
302374,"Startech - accessories"
302390,"FCM - accessories"
302394,"JBL - accessories"
302395,"Synology - accessories"
302398,"Apple - laptop"
302401,"OWC - accessories"
302403,"Crucial - accessories"
302404,"Western Digital - accessories"
302411,"TP-Link - accessories"
302411,"Kanex - accessories"
302414,"Replacement - accessories"
302420,"Crucial - accessories"
302426,"TrackR - accessories"
302429,"Crucial - accessories"
302430,"Seagate - accessories"
302438,"Logitech - accessories"
302445,"Apple - accessories"
302450,"Kingston - accessories"
302458,"Kingston - accessories"
302461,"Synology - accessories"
302470,"NewerTech - accessories"
302505,"OWC - accessories"
302510,"Wacom - accessories"
302512,"iFixit - accessories"
302521,"Synology - accessories"
302530,"SanDisk - accessories"
302531,"Henge Docks - accessories"
302545,"Seagate - accessories"
302556,"Samsung - display"
302571,"OWC - accessories"
302580,"Philips - accessories"
302580,"Philips - accessories"
302586,"Apple - accessories"
302592,"BenQ - display"
302603,"Blue Microphones - accessories"
302607,"Pebble - smartwhatch"
302612,"Seagate - accessories"
302620,"Apple - accessories"
302626,"Wacom - tablet"
302627,"Lexar - accessories"
302636,"Logitech - accessories"
302641,"Seagate - accessories"
302641,"ZaggKeys - accessories"
302655,"Synology - accessories"
302655,"Western Digital - accessories"
302661,"OWC - accessories"
302666,"Apple - smartphone"
302670,"TP-Link - accessories"
302672,"Belkin - accessories"
302679,"Apple - accessories"
302709,"Startech - accessories"
302711,"iFixit - accessories"
302714,"Seagate - accessories"
302714,"NewerTech - accessories"
